Id,listed price,last sold price,diffrence between prices
47563,579000.0,523500.0,55500
47564,386000.0,,386000
47565,1450000.0,860000.0,590000
47566,1189000.0,775000.0,414000
47567,629900.0,325000.0,304900
47568,1395000.0,505000.0,890000
47569,415000.0,,415000
47570,825000.0,500000.0,325000
47571,469000.0,290000.0,179000
47572,260000.0,214000.0,46000
47573,1650000.0,1600000.0,50000
47574,319900.0,198000.0,121900
47575,998000.0,400000.0,598000
47576,999000.0,,999000
47577,875000.0,760000.0,115000
47578,1199888.0,,1199888
47579,699000.0,,699000
47580,449900.0,126000.0,323900
47581,1499000.0,1010000.0,489000
47582,539900.0,215000.0,324900
47583,724888.0,,724888
47584,820000.0,720000.0,100000
47585,385000.0,256000.0,129000
47586,455000.0,306000.0,149000
47587,369000.0,301000.0,68000
47588,829999.0,665000.0,164999
47589,479000.0,329000.0,150000
47590,0.0,,0
47591,1295000.0,225000.0,1070000
47592,3149000.0,650000.0,2499000
47593,250000.0,18000.0,232000
47594,549000.0,,549000
47595,489000.0,,489000
47596,2300000.0,,2300000
47597,589900.0,,589900
47598,360000.0,125000.0,235000
47599,900000.0,400000.0,500000
47600,3190000.0,,3190000
47601,349000.0,,349000
47602,625000.0,,625000
47603,330000.0,,330000
47604,529000.0,375000.0,154000
47605,750000.0,,750000
47606,825000.0,253500.0,571500
47607,291000.0,205000.0,86000
47608,159900.0,120000.0,39900
47609,249000.0,205000.0,44000
47610,850000.0,,850000
47611,3349000.0,,3349000
47612,260000.0,83000.0,177000
47613,1099000.0,295000.0,804000
47614,125000.0,125000.0,0
47615,539900.0,440000.0,99900
47616,439000.0,,439000
47617,2295000.0,1800000.0,495000
47618,339000.0,185000.0,154000
47619,499900.0,355000.0,144900
47620,839000.0,560000.0,279000
47621,709000.0,620000.0,89000
47622,1450000.0,771007.0,678993
47623,1595000.0,,1595000
47624,1199000.0,,1199000
47625,619555.0,,619555
47626,125000.0,75000.0,50000
47627,579900.0,,579900
47628,245000.0,,245000
47629,1548900.0,,1548900
47630,950000.0,560000.0,390000
47631,1936000.0,985000.0,951000
47632,375000.0,,375000
47633,599999.0,374000.0,225999
47634,449900.0,,449900
47635,799800.0,,799800
47636,699000.0,152000.0,547000
47637,499999.0,195000.0,304999
47638,1825000.0,910000.0,915000
47639,549000.0,266000.0,283000
47640,430000.0,,430000
47641,629000.0,340000.0,289000
47642,346900.0,325000.0,21900
47643,850000.0,615000.0,235000
47644,1025000.0,855000.0,170000
47645,440000.0,,440000
47646,415000.0,133500.0,281500
47647,729000.0,72500.0,656500
47648,95000.0,685000.0,-590000
47649,615000.0,400000.0,215000
47650,1249000.0,1075000.0,174000
47651,199900.0,75000.0,124900
47652,1100000.0,845000.0,255000
47653,399000.0,295000.0,104000
47654,1200000.0,1300000.0,-100000
47655,679900.0,,679900
47656,2250000.0,963000.0,1287000
47657,1649000.0,,1649000
47658,1350000.0,480000.0,870000
47659,765000.0,399000.0,366000
47660,685000.0,185000.0,500000
47661,1099000.0,699000.0,400000
47662,249000.0,189000.0,60000
47663,999999.0,850000.0,149999
47664,2190000.0,645000.0,1545000
47665,2549888.0,875000.0,1674888
47666,899000.0,140000.0,759000
47667,775000.0,100000.0,675000
47668,699000.0,425000.0,274000
47669,659000.0,555000.0,104000
47670,260000.0,198000.0,62000
47671,1099000.0,,1099000
47672,1859000.0,1110000.0,749000
47673,699000.0,,699000
47674,319000.0,248000.0,71000
47675,695695.0,,695695
47676,485000.0,475000.0,10000
47677,1188000.0,,1188000
47678,1090000.0,,1090000
47679,1100000.0,,1100000
47680,400000.0,,400000
47681,799000.0,500000.0,299000
47682,400000.0,307000.0,93000
47683,445000.0,,445000
47684,1225818.0,,1225818
47685,550000.0,,550000
47686,1799000.0,,1799000
47687,1699000.0,,1699000
47688,725000.0,550000.0,175000
47689,799000.0,162500.0,636500
47690,1245000.0,200000.0,1045000
47691,1950000.0,990000.0,960000
47692,335000.0,315500.0,19500
47693,255000.0,,255000
47694,310000.0,,310000
47695,1250000.0,279000.0,971000
47696,150000.0,88000.0,62000
47697,1349000.0,725000.0,624000
47698,510000.0,,510000
47699,155500.0,16500.0,139000
47700,850000.0,611500.0,238500
47701,429800.0,350000.0,79800
47702,2499000.0,1300013.0,1198987
47703,148500.0,250067.0,-101567
47704,350000.0,325000.0,25000
47705,699000.0,475000.0,224000
47706,420000.0,290000.0,130000
47707,4999888.0,,4999888
47708,350000.0,249000.0,101000
47709,1298888.0,320000.0,978888
47710,855000.0,,855000
47711,799000.0,,799000
47712,695000.0,544000.0,151000
47713,1399000.0,1425000.0,-26000
47714,419900.0,,419900
47715,1249999.0,600000.0,649999
47716,679000.0,800000.0,-121000
47717,285000.0,240000.0,45000
47718,850000.0,,850000
47719,680000.0,65000.0,615000
47720,440000.0,375000.0,65000
47721,1199000.0,,1199000
47722,849000.0,25000.0,824000
47723,329000.0,143000.0,186000
47724,699999.0,,699999
47725,795000.0,514000.0,281000
47726,650000.0,,650000
47727,1895000.0,,1895000
47728,879000.0,205000.0,674000
47729,835000.0,,835000
47730,415000.0,295000.0,120000
47731,599950.0,500000.0,99950
47732,259000.0,135000.0,124000
47733,774800.0,600000.0,174800
47734,9000000.0,7700000.0,1300000
47735,1398000.0,58500.0,1339500
47736,580000.0,,580000
47737,699000.0,303000.0,396000
47738,249900.0,130000.0,119900
47739,289000.0,125000.0,164000
47740,399999.0,,399999
47741,475000.0,277000.0,198000
47742,549000.0,405000.0,144000
47743,2850000.0,,2850000
47744,950000.0,485000.0,465000
47745,1395000.0,,1395000
47746,819000.0,,819000
47747,259000.0,205000.0,54000
47748,625000.0,228000.0,397000
47749,900000.0,,900000
47750,615000.0,480000.0,135000
47751,1250000.0,600000.0,650000
47752,725000.0,710000.0,15000
47753,329000.0,,329000
47754,459999.0,318000.0,141999
47755,1988000.0,1600000.0,388000
47756,870000.0,820000.0,50000
47757,426000.0,,426000
47758,485000.0,340000.0,145000
47759,895000.0,,895000
47760,925000.0,610000.0,315000
47761,520000.0,420000.0,100000
47762,325000.0,161000.0,164000
47763,1499000.0,,1499000
47764,699000.0,545000.0,154000
47765,899000.0,825000.0,74000
47766,1275000.0,,1275000
47767,299000.0,,299000
47768,549000.0,240000.0,309000
47769,585000.0,287000.0,298000
47770,1595000.0,,1595000
47771,525000.0,245000.0,280000
47772,999999.0,,999999
47773,644000.0,249000.0,395000
47774,1599000.0,,1599000
47775,720000.0,,720000
47776,699000.0,,699000
47777,730000.0,,730000
47778,699000.0,,699000
47779,2195000.0,1136500.0,1058500
47780,399000.0,400000.0,-1000
47781,999000.0,689000.0,310000
47782,490000.0,463000.0,27000
47783,378000.0,87000.0,291000
47784,695000.0,,695000
47785,1389000.0,,1389000
47786,1450000.0,1125000.0,325000
47787,448000.0,380000.0,68000
47788,199000.0,,199000
47789,2250000.0,2188000.0,62000
47790,1099000.0,,1099000
47791,799000.0,719000.0,80000
47792,700000.0,262000.0,438000
47793,419999.0,,419999
47794,2240000.0,,2240000
47795,599900.0,395000.0,204900
47796,1425000.0,470500.0,954500
47797,398000.0,347500.0,50500
47798,1000000.0,670000.0,330000
47799,5725000.0,1925000.0,3800000
47800,294950.0,,294950
47801,535000.0,340000.0,195000
47802,575000.0,575000.0,0
47803,699000.0,,699000
47804,1355000.0,1190000.0,165000
47805,768000.0,215000.0,553000
47806,1475000.0,,1475000
47807,2895000.0,,2895000
47808,619950.0,327000.0,292950
47809,325000.0,250000.0,75000
47810,1999950.0,109500.0,1890450
47811,159000.0,,159000
47812,530000.0,,530000
47813,2728000.0,,2728000
47814,805000.0,740000.0,65000
47815,1495000.0,205000.0,1290000
47816,339000.0,116000.0,223000
47817,1595000.0,295000.0,1300000
47818,310000.0,,310000
47819,2600000.0,790000.0,1810000
47820,1599000.0,1432000.0,167000
47821,1095000.0,870000.0,225000
47822,2800000.0,,2800000
47823,829000.0,521500.0,307500
47824,479900.0,293000.0,186900
47825,1300000.0,860000.0,440000
47826,695000.0,596500.0,98500
47827,299900.0,130500.0,169400
47828,165000.0,,165000
47829,425000.0,370000.0,55000
47830,829000.0,675000.0,154000
47831,460000.0,,460000
47832,1868000.0,1595000.0,273000
47833,449000.0,320000.0,129000
47834,240000.0,116000.0,124000
47835,499000.0,,499000
47836,1045000.0,,1045000
47837,549000.0,575000.0,-26000
47838,2650000.0,1249000.0,1401000
47839,549515.0,,549515
47840,990000.0,,990000
47841,750000.0,492500.0,257500
47842,1130000.0,670000.0,460000
47843,1099000.0,,1099000
47844,275000.0,,275000
47845,900000.0,475000.0,425000
47846,729900.0,625000.0,104900
47847,250000.0,259000.0,-9000
47848,903500.0,1040000.0,-136500
47849,1497000.0,,1497000
47850,954000.0,885000.0,69000
47851,619999.0,,619999
47852,793000.0,,793000
47853,759000.0,,759000
47854,1199000.0,560000.0,639000
47855,650000.0,560000.0,90000
47856,378159.0,299500.0,78659
47857,525000.0,400000.0,125000
47858,1300000.0,849000.0,451000
47859,375000.0,,375000
47860,1350000.0,1320000.0,30000
47861,1850000.0,758000.0,1092000
47862,898000.0,285000.0,613000
47863,499000.0,260000.0,239000
47864,349000.0,215000.0,134000
47865,135000.0,,135000
47866,719000.0,421500.0,297500
47867,489000.0,464000.0,25000
47868,215000.0,119000.0,96000
47869,1649000.0,,1649000
47870,509000.0,510000.0,-1000
47871,1089000.0,825000.0,264000
47872,500000.0,375000.0,125000
47873,540000.0,270000.0,270000
47874,199500.0,150000.0,49500
47875,799000.0,700000.0,99000
47876,399999.0,,399999
47877,599000.0,495000.0,104000
47878,305000.0,203000.0,102000
47879,1049000.0,670000.0,379000
47880,599000.0,467000.0,132000
47881,6880000.0,5250000.0,1630000
47882,310000.0,290000.0,20000
47883,279000.0,215000.0,64000
47884,1080000.0,,1080000
47885,4599000.0,3950000.0,649000
47886,1399000.0,575000.0,824000
47887,1399000.0,510000.0,889000
47888,299900.0,,299900
47889,325000.0,,325000
47890,300000.0,,300000
47891,1795000.0,,1795000
47892,710000.0,635000.0,75000
47893,229900.0,157500.0,72400
47894,2999000.0,2110000.0,889000
47895,435999.0,278000.0,157999
47896,559000.0,,559000
47897,545000.0,412000.0,133000
47898,980000.0,800000.0,180000
47899,379900.0,125000.0,254900
47900,1850000.0,,1850000
47901,293000.0,32500.0,260500
47902,395000.0,264500.0,130500
47903,1799000.0,736000.0,1063000
47904,1228888.0,3500.0,1225388
47905,2495000.0,,2495000
47906,550000.0,393000.0,157000
47907,2000000.0,,2000000
47908,670000.0,490000.0,180000
47909,496000.0,,496000
47910,164900.0,,164900
47911,680000.0,302500.0,377500
47912,436500.0,,436500
47913,450000.0,,450000
47914,669000.0,305000.0,364000
47915,280000.0,150000.0,130000
47916,1488000.0,,1488000
47917,800000.0,,800000
47918,1298888.0,143500.0,1155388
47919,1350000.0,1010000.0,340000
47920,1300000.0,270000.0,1030000
47921,1199000.0,,1199000
47922,759000.0,,759000
47923,1850000.0,,1850000
47924,589900.0,3636.0,586264
47925,550000.0,305000.0,245000
47926,699000.0,,699000
47927,1088000.0,,1088000
47928,869000.0,525000.0,344000
47929,1299000.0,,1299000
47930,789000.0,423000.0,366000
47931,399000.0,364000.0,35000
47932,2475000.0,2450000.0,25000
47933,1350000.0,,1350000
47934,1650000.0,762500.0,887500
47935,815000.0,,815000
47936,469000.0,375000.0,94000
47937,529950.0,229500.0,300450
47938,230000.0,145500.0,84500
47939,699000.0,,699000
47940,166260.0,170000.0,-3740
47941,1250000.0,,1250000
47942,375000.0,,375000
47943,2800000.0,,2800000
47944,1635000.0,,1635000
47945,693500.0,230000.0,463500
47946,920000.0,720000.0,200000
47947,1189000.0,,1189000
47948,1199000.0,950000.0,249000
47949,4295000.0,1610000.0,2685000
47950,1250000.0,330000.0,920000
47951,1149000.0,,1149000
47952,1398000.0,1190000.0,208000
47953,774900.0,,774900
47954,899042.0,520000.0,379042
47955,650000.0,,650000
47956,1295000.0,3295.0,1291705
47957,595000.0,248000.0,347000
47958,1045000.0,,1045000
47959,799000.0,,799000
47960,148000.0,84000.0,64000
47961,810000.0,695000.0,115000
47962,379500.0,,379500
47963,649000.0,320000.0,329000
47964,1295000.0,1110000.0,185000
47965,2595000.0,930000.0,1665000
47966,484900.0,,484900
47967,1130000.0,,1130000
47968,669000.0,499500.0,169500
47969,710000.0,,710000
47970,549900.0,530000.0,19900
47971,429900.0,220000.0,209900
47972,2800000.0,,2800000
47973,575000.0,550000.0,25000
47974,759000.0,,759000
47975,879000.0,,879000
47976,865000.0,529500.0,335500
47977,229900.0,225000.0,4900
47978,1465000.0,1110000.0,355000
47979,1150000.0,500000.0,650000
47980,790000.0,750000.0,40000
47981,699000.0,,699000
47982,740000.0,,740000
47983,1450000.0,400000.0,1050000
47984,455000.0,330000.0,125000
47985,259000.0,203000.0,56000
47986,850000.0,,850000
47987,2688000.0,785000.0,1903000
47988,279500.0,150000.0,129500
47989,389900.0,,389900
47990,380000.0,,380000
47991,599900.0,420000.0,179900
47992,499000.0,499000.0,0
47993,1495000.0,,1495000
47994,809999.0,303000.0,506999
47995,875000.0,590000.0,285000
47996,279000.0,159000.0,120000
47997,990000.0,655000.0,335000
47998,999000.0,,999000
47999,385000.0,209000.0,176000
48000,998000.0,735000.0,263000
48001,995000.0,,995000
48002,2500000.0,,2500000
48003,219000.0,,219000
48004,915000.0,780000.0,135000
48005,453000.0,450000.0,3000
48006,329000.0,,329000
48007,199500.0,165000.0,34500
48008,810000.0,,810000
48009,3999000.0,,3999000
48010,1198000.0,600000.0,598000
48011,985000.0,,985000
48012,325000.0,130000.0,195000
48013,9980000.0,,9980000
48014,779000.0,,779000
48015,299900.0,185000.0,114900
48016,399888.0,,399888
48017,1395000.0,,1395000
48018,265000.0,,265000
48019,828000.0,360000.0,468000
48020,749000.0,,749000
48021,1979000.0,,1979000
48022,208500.0,170000.0,38500
48023,479900.0,350000.0,129900
48024,2138000.0,1450000.0,688000
48025,1100000.0,686000.0,414000
48026,729000.0,520000.0,209000
48027,1150000.0,90000.0,1060000
48028,500000.0,335000.0,165000
48029,798000.0,,798000
48030,629000.0,470000.0,159000
48031,625000.0,198000.0,427000
48032,389000.0,160000.0,229000
48033,319900.0,310000.0,9900
48034,970000.0,,970000
48035,619900.0,185500.0,434400
48036,1495000.0,,1495000
48037,625000.0,,625000
48038,1095000.0,1090000.0,5000
48039,2698000.0,6495.0,2691505
48040,1760000.0,1215000.0,545000
48041,765000.0,,765000
48042,595000.0,109000.0,486000
48043,1849000.0,1825000.0,24000
48044,1758000.0,507500.0,1250500
48045,335000.0,,335000
48046,1895000.0,,1895000
48047,2450000.0,,2450000
48048,475000.0,,475000
48049,875000.0,569000.0,306000
48050,2888000.0,,2888000
48051,360000.0,,360000
48052,879700.0,,879700
48053,119000.0,250000.0,-131000
48054,175000.0,,175000
48055,475000.0,355000.0,120000
48056,325000.0,200000.0,125000
48057,458000.0,403000.0,55000
48058,899888.0,,899888
48059,1698000.0,,1698000
48060,3295000.0,,3295000
48061,499999.0,,499999
48062,645000.0,337000.0,308000
48063,569900.0,,569900
48064,127000.0,,127000
48065,445000.0,429000.0,16000
48066,725000.0,,725000
48067,750000.0,272000.0,478000
48068,799999.0,670000.0,129999
48069,1095000.0,351000.0,744000
48070,385000.0,166500.0,218500
48071,980000.0,525000.0,455000
48072,420000.0,305000.0,115000
48073,1742000.0,1165500.0,576500
48074,1990000.0,1765000.0,225000
48075,1057000.0,228500.0,828500
48076,1749000.0,575000.0,1174000
48077,648000.0,115000.0,533000
48078,140000.0,,140000
48079,415000.0,330500.0,84500
48080,239900.0,,239900
48081,4490000.0,2000000.0,2490000
48082,1299000.0,2363636.0,-1064636
48083,1320000.0,1196000.0,124000
48084,229900.0,,229900
48085,235000.0,70500.0,164500
48086,315000.0,190000.0,125000
48087,119000.0,119000.0,0
48088,1485000.0,1100000.0,385000
48089,949000.0,580000.0,369000
48090,279999.0,77500.0,202499
48091,599000.0,320000.0,279000
48092,2999888.0,1025000.0,1974888
48093,389000.0,255000.0,134000
48094,1525000.0,665000.0,860000
48095,749950.0,307000.0,442950
48096,379000.0,,379000
48097,11400000.0,,11400000
48098,1999950.0,333000.0,1666950
48099,379000.0,66500.0,312500
48100,675000.0,,675000
48101,750000.0,155000.0,595000
48102,940000.0,219000.0,721000
48103,625000.0,560000.0,65000
48104,630000.0,154000.0,476000
48105,699000.0,630000.0,69000
48106,1628000.0,850000.0,778000
48107,1350000.0,681000.0,669000
48108,539500.0,,539500
48109,649000.0,,649000
48110,1599990.0,1635000.0,-35010
48111,595000.0,,595000
48112,2595000.0,395000.0,2200000
48113,1350000.0,1090000.0,260000
48114,1349000.0,,1349000
48115,1499988.0,665000.0,834988
48116,399900.0,215000.0,184900
48117,649000.0,175000.0,474000
48118,1595000.0,,1595000
48119,1399900.0,1060000.0,339900
48120,995000.0,,995000
48121,299900.0,54000.0,245900
48122,699000.0,490000.0,209000
48123,150000.0,350000.0,-200000
48124,1199000.0,395000.0,804000
48125,895000.0,838500.0,56500
48126,1249800.0,,1249800
48127,1535000.0,,1535000
48128,0.0,552500.0,-552500
48129,549000.0,310000.0,239000
48130,410000.0,,410000
48131,679000.0,,679000
48132,1249000.0,,1249000
48133,999000.0,800000.0,199000
48134,389000.0,,389000
48135,2195000.0,1599000.0,596000
48136,349999.0,,349999
48137,1300000.0,225000.0,1075000
48138,313500.0,800000.0,-486500
48139,2300000.0,406500.0,1893500
48140,699000.0,535000.0,164000
48141,649000.0,399000.0,250000
48142,405000.0,250000.0,155000
48143,749000.0,,749000
48144,399000.0,,399000
48145,599000.0,605000.0,-6000
48146,275000.0,120000.0,155000
48147,798000.0,255000.0,543000
48148,885000.0,,885000
48149,1199888.0,216500.0,983388
48150,399000.0,,399000
48151,555900.0,300000.0,255900
48152,1395000.0,865000.0,530000
48153,489900.0,,489900
48154,409500.0,345000.0,64500
48155,450000.0,,450000
48156,1148000.0,,1148000
48157,419000.0,347000.0,72000
48158,1995000.0,900000.0,1095000
48159,895000.0,,895000
48160,549500.0,,549500
48161,799000.0,470000.0,329000
48162,1495000.0,,1495000
48163,1159000.0,819000.0,340000
48164,1495000.0,1300000.0,195000
48165,749000.0,525000.0,224000
48166,230000.0,133000.0,97000
48167,1149000.0,1370000.0,-221000
48168,674998.0,,674998
48169,359900.0,126000.0,233900
48170,725000.0,715000.0,10000
48171,153333.0,,153333
48172,3150000.0,2000000.0,1150000
48173,3500000.0,,3500000
48174,1078000.0,357500.0,720500
48175,1850000.0,,1850000
48176,1249000.0,1215000.0,34000
48177,749999.0,525000.0,224999
48178,815000.0,,815000
48179,299900.0,105000.0,194900
48180,949000.0,517500.0,431500
48181,688000.0,300000.0,388000
48182,350000.0,300000.0,50000
48183,899999.0,775000.0,124999
48184,389999.0,165000.0,224999
48185,1075000.0,240000.0,835000
48186,2795000.0,,2795000
48187,399000.0,325000.0,74000
48188,995000.0,,995000
48189,1195000.0,832500.0,362500
48190,1799000.0,,1799000
48191,1399000.0,301000.0,1098000
48192,1075000.0,747000.0,328000
48193,1175000.0,,1175000
48194,450000.0,269000.0,181000
48195,1110000.0,,1110000
48196,4200000.0,3825000.0,375000
48197,1299950.0,520000.0,779950
48198,505000.0,,505000
48199,459950.0,,459950
48200,1380000.0,,1380000
48201,8250000.0,1850000.0,6400000
48202,389999.0,156000.0,233999
48203,439000.0,440000.0,-1000
48204,559000.0,570000.0,-11000
48205,365000.0,49000.0,316000
48206,142000.0,75000.0,67000
48207,422300.0,395000.0,27300
48208,778880.0,,778880
48209,749000.0,750000.0,-1000
48210,998000.0,,998000
48211,998000.0,,998000
48212,495000.0,390000.0,105000
48213,1199000.0,950000.0,249000
48214,165000.0,164900.0,100
48215,3188000.0,840000.0,2348000
48216,1095000.0,885000.0,210000
48217,699000.0,425000.0,274000
48218,370000.0,220000.0,150000
48219,229000.0,90000.0,139000
48220,265000.0,197500.0,67500
48221,2185000.0,,2185000
48222,425000.0,382000.0,43000
48223,760000.0,540000.0,220000
48224,399000.0,185000.0,214000
48225,632000.0,125000.0,507000
48226,1345000.0,,1345000
48227,479900.0,282000.0,197900
48228,1098000.0,1360000.0,-262000
48229,1150000.0,1050000.0,100000
48230,265000.0,188000.0,77000
48231,3295000.0,2175000.0,1120000
48232,470000.0,430000.0,40000
48233,319900.0,233000.0,86900
48234,698000.0,500000.0,198000
48235,160000.0,86302.0,73698
48236,12750000.0,13475000.0,-725000
48237,900000.0,,900000
48238,1449000.0,718000.0,731000
48239,1250000.0,,1250000
48240,372000.0,221600.0,150400
48241,1349000.0,,1349000
48242,1750000.0,,1750000
48243,1259000.0,835000.0,424000
48244,329000.0,20000.0,309000
48245,289000.0,193000.0,96000
48246,3550000.0,2722500.0,827500
48247,785000.0,255000.0,530000
48248,525000.0,,525000
48249,1250000.0,,1250000
48250,995000.0,250000.0,745000
48251,214950.0,62000.0,152950
48252,2980000.0,,2980000
48253,224900.0,135000.0,89900
48254,828880.0,825000.0,3880
48255,380000.0,160000.0,220000
48256,590000.0,305000.0,285000
48257,599000.0,450000.0,149000
48258,784500.0,,784500
48259,574900.0,350000.0,224900
48260,123000.0,,123000
48261,1095000.0,720000.0,375000
48262,988000.0,511000.0,477000
48263,399000.0,235000.0,164000
48264,320000.0,230000.0,90000
48265,700000.0,,700000
48266,720000.0,720000.0,0
48267,680000.0,680000.0,0
48268,750000.0,,750000
48269,520000.0,554000.0,-34000
48270,1069000.0,,1069000
48271,329000.0,,329000
48272,1079000.0,280000.0,799000
48273,1599000.0,540000.0,1059000
48274,4699888.0,2050000.0,2649888
48275,399000.0,359500.0,39500
48276,2499000.0,2120000.0,379000
48277,2298000.0,,2298000
48278,320000.0,,320000
48279,699000.0,655000.0,44000
48280,609900.0,460000.0,149900
48281,399000.0,425000.0,-26000
48282,1799999.0,,1799999
48283,729000.0,,729000
48284,600000.0,325000.0,275000
48285,4700000.0,3150000.0,1550000
48286,1725000.0,,1725000
48287,879000.0,,879000
48288,825000.0,584000.0,241000
48289,1399000.0,,1399000
48290,385000.0,156000.0,229000
48291,1700000.0,795000.0,905000
48292,515000.0,500000.0,15000
48293,639900.0,530000.0,109900
48294,1095000.0,495000.0,600000
48295,485000.0,,485000
48296,4200000.0,3000030.0,1199970
48297,2450000.0,1596500.0,853500
48298,1075000.0,,1075000
48299,250000.0,171000.0,79000
48300,1298888.0,750000.0,548888
48301,395000.0,,395000
48302,1249000.0,625000.0,624000
48303,1049000.0,734000.0,315000
48304,445000.0,385000.0,60000
48305,234000.0,,234000
48306,591000.0,,591000
48307,235000.0,100000.0,135000
48308,235000.0,,235000
48309,549950.0,,549950
48310,399000.0,,399000
48311,339000.0,142500.0,196500
48312,210000.0,100000.0,110000
48313,630000.0,400000.0,230000
48314,1595000.0,410000.0,1185000
48315,765000.0,622500.0,142500
48316,809900.0,,809900
48317,530000.0,,530000
48318,129900.0,63000.0,66900
48319,600000.0,435000.0,165000
48320,1898000.0,1250000.0,648000
48321,1200000.0,,1200000
48322,6000000.0,,6000000
48323,399500.0,,399500
48324,649999.0,139000.0,510999
48325,698000.0,530000.0,168000
48326,489900.0,186000.0,303900
48327,425000.0,,425000
48328,695000.0,,695000
48329,865000.0,788500.0,76500
48330,324900.0,,324900
48331,1400000.0,220000.0,1180000
48332,320000.0,,320000
48333,1195000.0,,1195000
48334,699000.0,,699000
48335,449000.0,365000.0,84000
48336,829000.0,285000.0,544000
48337,319900.0,290000.0,29900
48338,985000.0,655000.0,330000
48339,649000.0,,649000
48340,560000.0,,560000
48341,739000.0,532500.0,206500
48342,849000.0,,849000
48343,750000.0,334000.0,416000
48344,0.0,525000.0,-525000
48345,635000.0,420000.0,215000
48346,575000.0,,575000
48347,639000.0,350000.0,289000
48348,495900.0,396000.0,99900
48349,1199000.0,760000.0,439000
48350,528000.0,380000.0,148000
48351,659000.0,639500.0,19500
48352,245500.0,,245500
48353,375000.0,128000.0,247000
48354,2500000.0,,2500000
48355,1099000.0,750000.0,349000
48356,5495000.0,,5495000
